Number,Code Name,Description,Citations,URLs
120,Epitranscriptomic code,The Epitranscriptomic Code,"Berlivet, S., J. Scutenaire, J. M. Deragon and C. Bousquet-Antonelli (2019). ""Readers of the m(6)A epitranscriptomic code."" Biochim Biophys Acta Gene Regul Mech 1862(3): 329-342. Deng, L., J. Kumar, R. Rose, W. McIntyre and D. Fabris (2022). “Analyzing RNA posttranscriptional modifications to decipher the epitranscriptomic code.” Mass Spectrom Rev: e21798.","[""https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/10.1002/mas.21798"", ""https://doi.org/10.1101/sqb.1999.64.45"", ""https://www.sciencedirect.com/science/article/abs/pii/S1874939918300476""]"
121,E-protein code,The Combinatorial E-Protein Code,"BARNDT, R. J., & ZHUANG, Y. (1999). Controlling Lymphopoiesis with a Combinatorial E-protein Code. Cold Spring Harbor Symposia on Quantitative Biology, 64, 45-50.","[""https://doi.org/10.1002/qua.1302"", ""https://doi.org/10.1101/sqb.1999.64.45""]"
122,Error correcting code,The Error Correcting Code,"Štambuk, N., & Konjevoda, P. (2001). New computational algorithm for the prediction of protein folding types. International Journal of Quantum Chemistry, 84(1), 13-22. Battail, G. (2007). Information Theory and Error-Correcting Codes In Genetics and Biological Evolution. Introduction to Biosemiotics: The New Biological Synthesis. M. Barbieri. Dordrecht, Springer Netherlands: 299-345. Faria, L. C., A. S. Rocha, J. H. Kleinschmidt, M. C. Silva-Filho, E. Bim, R. H. Herai, M. E. Yamagishi and R. Palazzo, Jr. (2012). “Is a genome a codeword of an error-correcting code?” PloS One 7(5): e36644.","[""https://doi.org/10.1002/qua.1302"", ""https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0036644"", ""https://link.springer.com/chapter/10.1007/1-4020-4814-9_13""]"
123,ER stress code,The Endoplasmatic Reticulum Stress Code,"Varshney, V., Singh, J., & Mishra, V. (2024). Unlocking the plant ER stress code: IRE1-proteasome signaling cohort takes the lead. Trends Plant Sci, 29(6), 610-612.","[""https://doi.org/10.1016/j.tplants.2023.12.003"", ""https://doi.org/10.1210/er.2010-0016""]"
124,Estrogen code,The Estrogen (Receptor) Code,"Le Romancer, M., Poulard, C., Cohen, P., Sentis, S., Renoir, J.-M., & Corbo, L. (2011). Cracking the Estrogen Receptor's Posttranslational Code in Breast Tumors. Endocrine Reviews, 32(5), 597-622.","[""https://doi.org/10.1016/j.biosystems.2025.105546"", ""https://doi.org/10.1210/er.2010-0016""]"
125,Eukaryogenesis codes,The Eukaryogenesis Codes,"Igamberdiev, A. U. (2025). The development of code systems during eukaryogenesis and the rise of multicellularity. Biosystems, 255, 105546.","[""https://doi.org/10.1016/j.biosystems.2025.105546"", ""https://doi.org/10.1038/s44271-025-00211-y""]"
126,Event codes,Neural Event Tracking Code,"Collin, S. H. P., Kempner, R. P., Srivatsan, S., & Norman, K. A. (2025). Neural codes track prior events in a narrative and predict subsequent memory for details. Communications Psychology, 3(1), 26.","[""https://doi.org/10.1038/s44271-025-00211-y"", ""https://linkinghub.elsevier.com/retrieve/pii/S0021-9258(19)73109-3""]"
127,Export / Exit code,The Export & Exit Codes,"Nishimura, N., S. Bannykh, S. Slabough, J. Matteson, Y. Altschuler, K. Hahn and W. E. Balch (1999). ""A di-acidic (DXE) code directs concentration of cargo during export from the endoplasmic reticulum."" J Biol Chem 274(22): 15937-15946. Wang, X., J. Matteson, Y. An, B. Moyer, J. S. Yoo, S. Bannykh, I. A. Wilson, J. R. Riordan and W. E. Balch (2004). ""COPII-dependent export of cystic fibrosis transmembrane conductance regulator from the ER uses a di-acidic exit code."" J Cell Biol 167(1): 65-74. Roy, G., Chalfin, E. M., Saxena, A., & Wang, X. (2010). Interplay between ER Exit Code and Domain Conformation in CFTR Misprocessing and Rescue. Mol Biol Cell, 21(4), 597-609.","[""https://doi.org/10.1046/j.1365-313X.1994.05020157.x"", ""https://doi.org/10.1091/mbc.e09-05-0427"", ""https://linkinghub.elsevier.com/retrieve/pii/S0021-9258(19)73109-3"", ""https://rupress.org/jcb/article/167/1/65/51296/COPII-dependent-export-of-cystic-fibrosis""]"
128,Extensin code,The (Plant) Extensin Codes,"Kieliszewski, M. J., & Lamport, D. T. A. (1994). Extensin: repetitive motifs, functional sites, post- translational codes, and phylogeny. The Plant Journal, 5(2), 157-172.","[""https://doi.org/10.1046/j.1365-313X.1994.05020157.x"", ""https://doi.org/10.1101/2025.03.18.643915""]"
129,Fear code,The Thalamic Fear Code,"Tuna, T., Totty, M. S., Badarnee, M., Afonso Gonçalves Mourão, F., Peters, S., Milad, M. R., & Maren, S. (2025). Associative coding of conditioned fear in the thalamic nucleus reuniens in rodents and humans. bioRxiv, 2025.2003.2018.643915.","[""https://doi.org/10.1016/j.foodres.2026.118518"", ""https://doi.org/10.1101/2025.03.18.643915""]"
130,Feng-flavor baijiu code,The  Feng-Flavor Baijiu Code,"Zhang, Y., Liu, K., Ding, X., Feng, Y., Jing, C., Zhang, Y., & Bai, L. (2026). Unlocking the Feng-flavor baijiu code: Single-strain yeast inoculants outperform co-cultures in enhancing sweet honey-ester aroma. Food Res Int, 230, 118518.","[""https://doi.org/10.1016/j.foodres.2026.118518"", ""https://doi.org/10.1016/j.neuron.2021.10.003""]"
131,Ferroptosis code,The Ferroptosis Code,"Zhao, X., Hsu, C.-L., & Spruston, N. (2022). Rapid synaptic plasticity contributes to a learned conjunctive code of position and choice-related information in the hippocampus. Neuron, 110(1), 96- 108.e104.","[""https://doi.org/10.1016/j.neuron.2021.10.003""]"
132,Fiber code,The Fiber Code,"Dong, Y. (2026). The fiber code: AI predicts HCC in MASLD. Hepatology, 83(3).","[""https://doi.org/10.1016/j.jcmgh.2021.06.012"", ""https://journals.lww.com/hep/fulltext/2026/03000/the_fiber_code__ai_predicts_hcc_in_masld.3.aspx""]"
133,Fibrogenic code,The Fibrogenic Code SEE also Inflammation Codes,"Friedersdorf, M., & Diehl, A. M. (2021). Inflammation Writes the Fibrogenic Code. Cell Mol Gastroenterol Hepatol, 12(3), 1147-1148.","[""https://doi.org/10.1016/j.biomaterials.2025.123738"", ""https://doi.org/10.1016/j.jcmgh.2021.06.012""]"
134,Fibrotic code,The Fibrotic Code,"Liu, M., Li, X., Gao, Y., Wei, Z., Ma, J., Zhang, L., . . . Liu, T. (2026). Breaking the fibrotic code: Nanotechnology-driven advances in renal fibrosis therapy. Biomaterials, 327, 123738.","[""https://doi.org/10.1016/j.biomaterials.2025.123738"", ""https://doi.org/10.1016/j.devcel.2010.05.010""]"
135,Flower code,The (Cancer) Flower Code SEE also Cancer Code,"Rhiner, C., López-Gay, J. M., Soldini, D., Casas-Tinto, S., Martín, F. A., Lombardía, L., & Moreno, E. (2010). Flower Forms an Extracellular Code that Reveals the Fitness of a Cell to its Neighbors in Drosophila. Dev Cell, 18(6), 985-998. Casas-Tinto, S., Torres, M., & Moreno, E. (2011). The flower code and cancer development. Clinical and Translational Oncology, 13(1), 5-9.","[""https://doi.org/10.1007/s12094-011-0610-4"", ""https://doi.org/10.1016/j.devcel.2010.05.010"", ""https://www.nature.com/articles/onc200821""]"
136,FoxO code,The Forkhead Transcription Factor Code,"Calnan, D. R. and A. Brunet (2008). “The FoxO code.” Oncogene 27(16): 2276-2288.","[""https://doi.org/10.1016/j.neuropharm.2015.06.005"", ""https://www.nature.com/articles/onc200821""]"
137,GABA code,The GABA Receptor Code,"Jang, H. J., Park, K., Lee, J., Kim, H., Han, K. H., & Kwag, J. (2015). GABAA receptor-mediated feedforward and feedback inhibition differentially modulate the gain and the neural code transformation in hippocampal CA1 pyramidal cells. Neuropharmacology, 99, 177-186. Iorio, M. T., F. D. Vogel, F. Koniuszewski, P. Scholze, S. Rehman, X. Simeone, M. Schnürch, M. D. Mihovilovic and M. Ernst (2020). “GABA(A) Receptor Ligands Often Interact with Binding Sites in the Transmembrane Domain and in the Extracellular Domain-Can the Promiscuity Code Be Cracked?” Int J Mol Sci 21(1).","[""https://doi.org/10.1016/j.neuropharm.2015.06.005"", ""https://pubmed.ncbi.nlm.nih.gov/13033864/"", ""https://www.mdpi.com/1422-0067/21/1/334""]"
138,Genetic code – A (historical),The Historical Papers on the Genetic Code,"Dounce, A. L. (1952). “[Duplicating mechanism for peptide chain and nucleic acid synthesis].” Enzymologia 15(5): 251-258. Dounce, A. L. (1953). “Nucleic Acid Template Hypotheses.” Nature 172(4377): 541-541. Gamow, G. (1954). “Possible Relation between Deoxyribonucleic Acid and Protein Structures.” Nature 173(4398): 318-318. Berg, P. and E. J. Offengand (1958). “An Enzymatic Mechanism for Linking Amino Acids to RNA.” Proc Natl Acad Sci U S A 44(2): 78-86.","[""https://pubmed.ncbi.nlm.nih.gov/13033864/"", ""https://www.nature.com/articles/172541a0"", ""https://www.nature.com/articles/173318a0"", ""https://www.pnas.org/doi/abs/10.1073/pnas.44.2.78""]"
139,Genetic code – B (research),Research Papers on the Genetic Code,"Taylor, F. J. R. and D. Coates (1989). ""The code within the codons."" Biosystems 22(3): 177-187. Jukes, T. H. and S. Osawa (1990). “The genetic code in mitochondria and chloroplasts.” Experientia 46(11-12): 1117-1126. Osawa, S., Muto, A., Ohama, T., Andachi, Y., Tanaka, R., & Yamao, F. (1990). Prokaryotic genetic code. Experientia, 46(11-12), 1097-1106. Haig, D. and L. D. Hurst (1991). “A quantitative measure of error minimization in the genetic code.” J Mol Evol 33(5): 412-417.","[""https://doi.org/10.1007/bf01936919"", ""https://link.springer.com/article/10.1007/BF01936921"", ""https://link.springer.com/article/10.1007/BF02103132"", ""https://www.sciencedirect.com/science/article/abs/pii/0303264789900592""]"
140,Genetic Code – C (expanded),The Expanded Genetic Code,"Moore, B., B. C. Persson, C. C. Nelson, R. F. Gesteland and J. F. Atkins (2000). “Quadruplet codons: implications for code expansion and the specification of translation step size.” J Mol Biol 298(2): 195- 209. Budisa, N. (2004). “Prolegomena to Future Experimental Efforts on Genetic Code Engineering by Expanding Its Amino Acid Repertoire.” Angewandte Chemie International Edition 43(47): 6426-6463. Wang, L. and P. G. Schultz (2005). “Expanding the Genetic Code.” AngewandteChemie International Edition 44(1): 34-66. Cropp, T. A., J. C. Anderson and J. W. Chin (2007). ""Reprogramming the amino-acid substrate specificity of orthogonal aminoacyl-tRNA synthetases to expand the genetic code of eukaryotic cells."" Nat Protoc 2(10): 2590-2600. Liu, C. C., A. V. Mack, M. L. Tsao, J. H. Mills, H. S. Lee, H. Choe, M. Farzan, P. G. Schultz and V. V. Smider (2008). “Protein evolution with an expanded genetic code.” Proc Natl Acad Sci U S A 105(46): 17688-17693.","[""https://onlinelibrary.wiley.com/doi/10.1002/anie.200300646"", ""https://www.annualreviews.org/doi/10.1146/annurev.biophys.35.101105.121507"", ""https://www.nature.com/articles/nprot.2007.378"", ""https://www.pnas.org/doi/10.1073/pnas.0809543105"", ""https://www.sciencedirect.com/science/article/abs/pii/S0022283600936581""]"
141,Genetic code – D (alternative),The Alternative Genetic Codes,"Doerfler, W. (1982). “In search of more complex genetic codes—can linguistics be a guide?” Med Hypotheses 9(6): 563-579. Parker, J. (1989). ""Errors and alternatives in reading the universal genetic code."" Microbiol Rev 53(3): 273-298. Osawa, S., Muto, A., Ohama, T., Andachi, Y., Tanaka, R., & Yamao, F. (1990). Prokaryotic genetic code. Experientia, 46(11-12), 1097-1106. Osawa, S., D. Collins, T. Ohama, T. H. Jukes and K. Watanabe (1990). ""Evolution of the mitochondrial genetic code. III. Reassignment of CUN codons from leucine to threonine during evolution of yeast mitochondria."" J Mol Evol 30(4): 322-328.","[""https://doi.org/10.1007/bf01936919"", ""https://journals.asm.org/doi/10.1128/mr.53.3.273-298.1989"", ""https://link.springer.com/article/10.1007/BF02101886"", ""https://www.sciencedirect.com/science/article/abs/pii/0306987782900494""]"
142,"Genetic code, second",The Second Genetic Code (tRNA Loading),"de Duve, C. (1988). The second genetic code. Nature, 333(6169), 117-118. de Duve, C. (1988). Transfer RNAs: the second genetic code. Nature, 333(6169), 117-118. Waldrop, M. M. (1989). The structure of the ""second genetic code"". Science, 246(4934), 1122. Bistolfi, F. (1990). A hydrogen-harps model for intracellular communication and its implications for the second genetic code. Panminerva Med, 32(1), 4-9. Tejedor, J. R., & Valcárcel, J. (2010). Gene regulation: Breaking the second genetic code. Nature, 465(7294), 45-46. Qu, L. (2013). Non-coding RNA annotation: deciphering the second genetic code. Sci China Life Sci, 56(10), 865-866.","[""https://doi.org/10.1007/s11427-013-4544-7"", ""https://doi.org/10.1038/333117a0"", ""https://doi.org/10.1038/465045a"", ""https://doi.org/10.1126/science.2479981"", ""https://pubmed.ncbi.nlm.nih.gov/2263402/""]"
143,"Genetic code, second (gene regulation)",The Second Genetic Code (Gene Regulation) SEE also Genomic Regulatory Code,"Tejedor, J. R., & Valcárcel, J. (2010). Gene regulation: Breaking the second genetic code. Nature, 465(7294), 45-46.","[""https://doi.org/10.1038/465045a"", ""https://onlinelibrary.wiley.com/doi/10.1002/bies.200900197""]"
144,Genome regulatory code,The Genomic Regulatory Code,"Rister, J. and C. Desplan (2010). “Deciphering the genome’s regulatory code: the many languages of DNA.” Bioessays 32(5): 381-384. Willis, N. A., E. Rass and R. Scully (2015). “Deciphering the Code of the Cancer Genome: Mechanisms of Chromosome Rearrangement.” Trends Cancer 1(4): 217-230. Kelley, D. R., J. Snoek and J. L. Rinn (2016). “Basset: learning the regulatory code of the accessible genome with deep convolutional neural networks.” Genome Res 26(7): 990-999. Istrail, S. (2019). “Eric Davidson’s Regulatory Genome for Computer Science: Causality, Logic, and Proof Principles of the Genomic cis-Regulatory Code.” J Comput Biol 26(7): 653-684. Mozziconacci, J., M. Merle and A. Lesne (2020). “The 3D Genome Shapes the Regulatory Code of Developmental Genes.” J Mol Biol 432(3): 712-723. Basu, A., D. G. Bobrovnikov, B. Cieza, J. P. Arcon, Z. Qureshi, M. Orozco and T. Ha (2022). ""Deciphering the mechanical code of the genome and epigenome."" Nat Struct Mol Biol. Riolo, J., & Steckl, A. J. (2022). Comparative analysis of genome code complexity and manufacturability with engineering benchmarks. Scientific Reports, 12(1), 2808.","[""https://doi.org/10.1038/s41598-022-06723-5"", ""https://genome.cshlp.org/content/26/7/990.long"", ""https://onlinelibrary.wiley.com/doi/10.1002/bies.200900197"", ""https://www.cell.com/trends/cancer/fulltext/S2405-8033(15)00054-0"", ""https://www.liebertpub.com/doi/10.1089/cmb.2019.0144"", ""https://www.nature.com/articles/s41594-022-00877-6"", ""https://www.science.org/doi/10.1126/science.306.5696.632"", ""https://www.sciencedirect.com/science/article/abs/pii/S0022283619306138?""]"
145,Genomic code,The Genomic Code,"Pennisi, E. (2004). “Searching for the genome’s second code.” Science 306(5696): 632-635. Segal, E., Y. Fondufe-Mittendorf, L. Chen, A. Thåström, Y. Field, I. K. Moore, J.-P. Z. Wang and J. Widom (2006). “A genomic code for nucleosome positioning.” Nature 442(7104): 772-778.","[""https://www.nature.com/articles/nature04979/"", ""https://www.science.org/doi/10.1126/science.306.5696.632""]"
146,Ghrelin code,The Ghrelin Receptor Code,"Bouzo-Lorenzo, M., Santo-Zas, I., Lodeiro, M., Nogueiras, R., Casanueva, F. F., Castro, M., . . . Camiña, J. P. (2016). Distinct phosphorylation sites on the ghrelin receptor, GHSR1a, establish a code that determines the functions of ß-arrestins. Scientific Reports, 6(1), 22495.","[""https://doi.org/10.1038/srep22495"", ""https://linkinghub.elsevier.com/retrieve/pii/S0959437X03001163""]"
147,Gli code,The Gli Codes,"Ruiz i Altaba, A., V. Nguyên and V. Palma (2003). ""The emergent design of the neural tube: prepattern, SHH morphogen and GLI code."" Curr Opin Genet Dev 13(5): 513-521. Ruiz i Altaba, A., C. Mas and B. Stecca (2007). ""The Gli code: an information nexus regulating cell fate, stemness and cancer."" Trends Cell Biol 17(9): 438-447. Devine, C. A., J. L. Sbrogna, B. Guner, M. Osgood, M. C. Shen and R. O. Karlstrom (2009). ""A dynamic Gli code interprets Hh signals to regulate induction, patterning, and endocrine cell specification in the zebrafish pituitary."" Dev Biol 326(1): 143-154.","[""https://linkinghub.elsevier.com/retrieve/pii/S0959437X03001163"", ""https://www.cell.com/trends/cell-biology/fulltext/S0962-8924(07)00171-7"", ""https://www.sciencedirect.com/science/article/pii/S0012160608013420""]"
148,Glioma code,The Glioma Code,"Lowenstein, P. R., G. J. Baker and M. G. Castro (2014). “Cracking the glioma-NK inhibitory code: toward successful innate immunotherapy.” Oncoimmunology 3(11): e965573.","[""https://doi.org/10.1038/nchembio.696"", ""https://www.tandfonline.com/doi/full/10.4161/21624011.2014.965573""]"
149,Glycomic code,The Glycomic Code,"Jones, C. J., & Larive, C. K. (2011). Cracking the glycan sequence code. Nat Chem Biol, 7(11), 758-759. Gupta, G. and A. Surolia (2012). Glycomics: An Overview of the Complex Glycocode. Biochemical Roles of Eukaryotic Cell Surface Macromolecules, New York, NY, Springer New York. Buckeridge, M. S. and A. P. de Souza (2014). “Breaking the “Glycomic Code” of Cell Wall Polysaccharides May Improve Second-Generation Bioenergy Production from Biomass.” BioEnergy Research 7(4): 1065-1073. Simone, G. (2014). ""Micro analysis to map the glycome code."" Proteomics 14(9): 994-1000. Buckeridge, M. S. (2018). “The evolution of the Glycomic Codes of extracellular matrices.” Biosystems 164: 112-120. Josenhans, C., Müthing, J., Elling, L., Bartfeld, S., & Schmidt, H. (2020). How bacterial pathogens of the gastrointestinal tract use the mucosal glyco-code to harness mucus and microbiota: New ways to study an ancient bag of tricks. International Journal of Medical Microbiology, 310(2), 151392. Banerjee, D. K., Ed. (2021). Glycome: The Hidden Code in Biology, Nova Science Publishers, Inc.","[""https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/10.1002/pmic.201300324"", ""https://doi.org/10.1016/j.ijmm.2020.151392"", ""https://doi.org/10.1038/nchembio.696"", ""https://link.springer.com/article/10.1007/s12155-014-9460-6"", ""https://link.springer.com/chapter/10.1007/978-1-4614-3381-1_1"", ""https://novapublishers.com/shop/glycome-the-hidden-code-in-biology/"", ""https://www.sciencedirect.com/science/article/abs/pii/S0303264717302721""]"
